Date,Mean_Sentiment,Variance_Sentiment,Composed_Value
2023-07-25,0.14047333333333334,0.012878579759878788,0.1422824303608027
2023-07-26,0.19296813793103448,0.016299840976123157,0.19611348789276897
2023-07-27,0.1846507037037037,0.013259994984985753,0.18709917110878888
2023-07-28,0.1372192894736842,0.018091855423995017,0.13970184102022543
2023-07-29,0.195364,0.009169545319428573,0.19715539905178484
2023-07-30,0.21992260000000002,0.005429689756044444,0.22111671148834267
2023-07-31,0.13271014634146341,0.012419517440128047,0.13435834231843316
2023-08-01,0.14800144117647057,0.022314122640617648,0.1513039634858705
2023-08-02,0.1604505263157895,0.020637679022147935,0.16376185277682945
2023-08-03,0.09777016981132075,0.02231624588960522,0.09995203296149863
2023-08-04,0.111310953125,0.013360498068458085,0.11279812289922479
2023-08-05,0.17903090909090907,0.02143216074869091,0.18286792831352972
2023-08-06,0.1933847142857143,0.033035129266571435,0.19977320332032183
2023-08-07,0.09252278947368421,0.02100468948676529,0.0944662019370283
2023-08-08,0.14666375675675675,0.021037578113689188,0.1497492069959741
2023-08-09,0.1043943448275862,0.027008954474519703,0.10721392693443178
2023-08-10,0.1715173846153846,0.023338383685366143,0.17552032314624896
2023-08-11,0.16588829629629628,0.021597080661754982,0.1694709992122485
2023-08-12,0.14735633333333334,0.003215831177333333,0.14783020642424421
2023-08-13,0.24334433333333336,0.009759837718666666,0.24571933453642383
2023-08-14,0.10945084,0.01944064721439,0.11157863516775864
2023-08-15,0.16161853658536585,0.015490505398054874,0.1641220893987672
2023-08-16,0.1851294074074074,0.014575649064019945,0.18782778868120775
2023-08-17,0.16272406666666667,0.020395514134616093,0.1660429076684089
2023-08-18,0.0524645,0.0009099804605,0.0525122416698699
2023-08-19,0.2314622857142857,0.002966600485904761,0.23214894184355434
2023-08-20,0.23790019999999998,0.0017172696826999992,0.23830873880096823
2023-08-21,0.12757196551724137,0.021779926018605907,0.13035047348825504
2023-08-22,0.18208674074074074,0.0191534241684302,0.18557432532159512
2023-08-23,0.2042106551724138,0.008014952653019703,0.20584739390486284
2023-08-24,0.16635368292682928,0.014740799270021948,0.16880586917468254
2023-08-25,0.1257638695652174,0.02454059609902767,0.1288501898920682
2023-08-26,0.086256375,0.053651996845982146,0.09088420175944585
2023-08-27,0.21886085714285716,0.008269915889809526,0.22067081802300023
2023-08-28,0.121158625,0.03581921790946196,0.1254984321904858
2023-08-29,0.18059525925925926,0.011601328188737891,0.18269040413125615
2023-08-30,0.150480975,0.016514377703358334,0.1529660746583196
2023-08-31,0.1874670833333333,0.00615615674181884,0.18862116008226493
2023-09-01,0.15933319999999998,0.015013138180579309,0.16172529134835387
2023-09-02,0.20977649999999998,0.008554864815166666,0.2115711095988988
