Date,mean_sentiment,p_sum,news_count
2022-03-01,-0.27746,-0.27746,1
2022-03-02,-0.3610736666666667,-1.083221,3
2022-03-03,-0.11618324999999999,-0.46473299999999995,4
2022-03-04,0.04104985714285714,0.28734899999999997,7
2022-03-07,-0.00010375000000000203,-0.002905000000000057,28
2022-03-08,0.04543716666666667,0.817869,18
2022-03-09,-0.0032631739130434805,-0.1501060000000001,46
2022-03-10,-0.07973085714285714,-3.906812,49
2022-03-11,0.017243416666666667,0.827684,48
2022-03-14,-0.12026445283018868,-6.374016,53
2022-03-15,-0.035506942857142856,-1.242743,35
2022-03-16,0.015982600000000003,0.47947800000000007,30
2022-03-17,-0.016876863636363638,-0.7425820000000001,44
2022-03-18,0.03508530555555556,1.263071,36
2022-03-21,-0.07077778260869565,-3.255778,46
2022-03-22,0.009983166666666664,0.35939399999999994,36
2022-03-23,-0.00543759523809524,-0.22837900000000005,42
2022-03-24,-0.002284382978723404,-0.10736599999999999,47
2022-03-25,-0.022589333333333333,-0.948752,42
2022-03-28,-0.014623051724137933,-0.8481370000000001,58
2022-03-29,-0.002071476190476192,-0.04350100000000004,21
2022-03-30,0.020815096774193548,1.290536,62
2022-03-31,-0.01819972727272727,-0.8007879999999999,44
2022-04-01,-0.025680090909090906,-1.129924,44
2022-04-04,0.019894486486486486,0.736096,37
2022-04-05,-0.005372724137931034,-0.155809,29
2022-04-06,-0.018605655172413797,-0.5395640000000002,29
2022-04-07,-0.019934906976744184,-0.8572009999999999,43
2022-04-08,-0.02275976923076923,-0.591754,26
2022-04-11,-0.06503706060606061,-2.146223,33
2022-04-12,-0.07514628,-3.757314,50
2022-04-13,0.0083245,0.28303300000000003,34
2022-04-14,-0.04765636585365854,-1.953911,41
2022-04-15,-0.10932210526315789,-2.07712,19
2022-04-18,-0.04423294444444444,-1.5923859999999999,36
2022-04-19,-0.047672599999999996,-1.6685409999999998,35
2022-04-20,-0.04927905128205128,-1.921883,39
2022-04-21,-0.053007700000000005,-0.530077,10
2022-04-22,-0.038019142857142856,-1.862938,49
2022-04-25,-0.08292533333333334,-4.229192,51
2022-04-26,-0.05316752777777778,-1.914031,36
2022-04-27,-0.10815549999999999,-4.975153,46
2022-04-28,-0.0623372794117647,-4.238935,68
2022-04-29,-0.09445877464788732,-6.706573,71
2022-05-02,-0.11953333333333334,-5.0204,42
2022-05-03,-0.06512760606060607,-2.149211,33
2022-05-04,-0.01121990322580645,-0.34781699999999993,31
2022-05-05,-0.12514211111111112,-4.505116,36
2022-05-06,-0.09275993548387096,-2.875558,31
2022-05-09,-0.11614000000000001,-5.57472,48
2022-05-10,-0.08506757142857142,-2.977365,35
2022-05-11,-0.05100445454545455,-2.244196,44
2022-05-12,-0.09699314516129033,-6.013575,62
2022-05-13,-0.027696374999999995,-1.1078549999999998,40
2022-05-16,-0.0624472962962963,-1.686077,27
2022-05-17,-0.04500714285714286,-1.57525,35
2022-05-18,-0.09682758536585366,-3.969931,41
2022-05-19,-0.134366,-5.37464,40
2022-05-20,-0.09126388888888888,-3.2855,36
2022-05-23,-0.02474424390243903,-1.0145140000000001,41
2022-05-24,-0.11261973913043477,-5.180508,46
2022-05-25,-0.06029871875,-1.929559,32
2022-05-26,-0.0652727659574468,-3.0678199999999998,47
2022-05-27,-0.052865760000000005,-1.321644,25
2022-05-30,0.021362090909090907,0.23498299999999997,11
2022-05-31,-0.018223838709677417,-0.564939,31
2022-06-01,-0.029041115384615384,-0.755069,26
2022-06-02,-0.060251068965517234,-1.7472809999999999,29
2022-06-03,-0.037421,-0.037421,1
2022-06-06,-0.03278513725490196,-1.672042,51
2022-06-07,-0.035161375,-1.406455,40
2022-06-08,-0.04374709756097561,-1.793631,41
2022-06-09,-0.0715625,-2.57625,36
2022-06-10,-0.08377214583333333,-4.021063,48
2022-06-13,-0.11851675862068965,-3.436986,29
2022-06-14,-0.045113459999999994,-2.255673,50
2022-06-15,-0.051676212121212116,-1.705315,33
2022-06-16,-0.12254716666666667,-2.941132,24
2022-06-17,0.018777322580645156,0.5820969999999999,31
2022-06-20,0.0297257,0.594514,20
2022-06-21,-0.06361492307692308,-1.653988,26
2022-06-22,0.06425289285714285,1.799081,28
2022-06-23,-0.05923345454545454,-1.3031359999999999,22
2022-06-24,-0.04626365517241379,-1.341646,29
2022-06-27,-0.024252382352941172,-0.8245809999999999,34
2022-06-28,-0.11878324242424242,-3.919847,33
2022-06-29,0.0029564545454545442,0.09756299999999996,33
2022-06-30,-0.06981022222222222,-1.884876,27
2022-07-01,-0.09513491176470588,-3.234587,34
2022-07-04,0.09033442857142857,0.6323409999999999,7
2022-07-05,-0.06729907407407408,-1.817075,27
2022-07-06,-0.043166600000000006,-1.294998,30
2022-07-07,-0.060759269230769235,-1.579741,26
2022-07-08,-0.037518944444444445,-0.675341,18
2022-07-11,0.12179944827586207,3.532184,29
2022-07-12,0.11359414705882352,3.8622009999999998,34
2022-07-13,0.17891085185185182,4.8305929999999995,27
2022-07-14,0.11393343333333333,3.418003,30
2022-07-15,0.1223116,3.0577900000000002,25
2022-07-18,0.17990968571428573,6.296839,35
2022-07-19,0.09617458333333333,4.6163799999999995,48
2022-07-20,0.12436235714285715,5.223219,42
2022-07-21,0.0943065581395349,4.055182,43
2022-07-22,0.0900106888888889,4.050481,45
2022-07-25,0.09348758490566038,4.954842,53
2022-07-26,0.07628969444444444,2.746429,36
2022-07-27,0.139106,3.616756,26
2022-07-28,0.10078535820895522,6.752619,67
2022-07-29,0.09641428,7.231071,75
