Date,Sentiment_Score
2022-10-12,0.1474
2022-10-13,0.0909
2022-10-14,0.134
2022-10-15,0.1383
2022-10-16,0.1306
2022-10-17,0.1085
2022-10-18,0.1399
2022-10-19,0.0475
2022-10-20,0.0852
2022-10-21,0.1013
2022-10-22,0.1066
2022-10-23,-0.0035
2022-10-24,0.1127
2022-10-25,0.1264
2022-10-26,0.1
2022-10-27,0.0602
2022-10-28,0.088
2022-10-29,0.1501
2022-10-30,0.2413
2022-10-31,0.1244
2022-11-01,0.0384
2022-11-02,0.0472
2022-11-03,0.0518
2022-11-04,0.0787
2022-11-05,0.1266
2022-11-06,0.1048
2022-11-07,0.0299
2022-11-08,0.0878
2022-11-09,0.0703
2022-11-10,0.058
2022-11-11,0.0716
2022-11-12,0.0461
2022-11-13,0.2109
2022-11-14,0.0777
2022-11-15,0.1168
2022-11-16,0.1314
2022-11-17,0.1143
2022-11-18,0.148
2022-11-19,0.0787
2022-11-20,0.1032
2022-11-21,0.0929
2022-11-22,0.1626
2022-11-23,0.0627
2022-11-24,0.1043
2022-11-25,0.0712
2022-11-26,0.1181
2022-11-27,0.1253
2022-11-28,0.0063
2022-11-29,0.0589
2022-11-30,0.0765
2022-12-01,0.0387
2022-12-02,0.1284
2022-12-03,0.0686
2022-12-04,0.0786
2022-12-05,0.096
2022-12-06,0.0821
2022-12-07,0.0704
2022-12-08,0.07
2022-12-09,0.1164
2022-12-10,0.096
2022-12-11,0.0376
2022-12-12,0.1814
2022-12-13,0.1238
2022-12-14,0.1214
2022-12-15,0.081
2022-12-16,0.0735
2022-12-17,0.1193
2022-12-18,0.0112
2022-12-19,0.0604
2022-12-20,0.0665
2022-12-21,0.1456
2022-12-22,0.0874
2022-12-23,0.109
2022-12-24,0.1479
2022-12-25,0.1772
2022-12-26,0.1093
2022-12-27,0.1113
2022-12-28,0.0678
2022-12-29,0.0536
2022-12-30,0.1004
2022-12-31,0.0936
2023-01-01,0.2788
2023-01-02,0.1815
2023-01-03,0.0854
2023-01-04,0.0377
2023-01-05,0.0624
2023-01-06,0.1377
2023-01-07,0.1137
2023-01-08,0.147
2023-01-09,0.1207
2023-01-10,0.1477
2023-01-11,0.0934
2023-01-12,0.0942
2023-01-13,0.1376
2023-01-14,0.1436
2023-01-15,0.1149
2023-01-16,0.1181
2023-01-17,0.1748
2023-01-18,0.1273
2023-01-19,0.1171
2023-01-20,0.1497
2023-01-21,0.1548
2023-01-22,0.2562
2023-01-23,0.1305
2023-01-24,0.1232
2023-01-25,0.1586
2023-01-26,0.1684
2023-01-27,0.1181
2023-01-28,0.1249
2023-01-29,0.0448
2023-01-30,0.0782
2023-01-31,0.0954
2023-02-01,0.1203
2023-02-02,0.0632
2023-02-03,0.0694
2023-02-04,0.0965
2023-02-05,0.1546
2023-02-06,0.1328
2023-02-07,0.1029
2023-02-08,0.1334
2023-02-09,0.1285
2023-02-10,0.151
2023-02-11,0.1474
2023-02-12,0.1319
2023-02-13,0.1778
2023-02-14,0.1161
2023-02-15,0.143
2023-02-16,0.1052
2023-02-17,0.1482
2023-02-18,0.1206
2023-02-19,0.1445
2023-02-20,0.0534
2023-02-21,0.1468
2023-02-22,0.1003
2023-02-23,0.1386
2023-02-24,0.1184
2023-02-25,0.1317
2023-02-26,0.1417
2023-02-27,0.1596
2023-02-28,0.1096
2023-03-01,0.1052
2023-03-02,0.1218
2023-03-03,0.0993
2023-03-04,0.1723
2023-03-05,0.1234
2023-03-06,0.1895
2023-03-07,0.145
2023-03-08,0.1093
2023-03-09,0.1428
2023-03-10,0.1064
2023-03-11,0.2181
2023-03-12,0.2013
2023-03-13,0.1544
2023-03-14,0.122
2023-03-15,0.1518
2023-03-16,0.0978
2023-03-17,0.1708
2023-03-18,0.293
2023-03-19,0.1338
2023-03-20,0.1068
2023-03-21,0.1922
2023-03-22,0.1583
2023-03-23,0.1337
2023-03-24,0.1655
2023-03-25,0.1463
2023-03-26,0.1795
2023-03-27,0.1301
2023-03-28,0.1188
2023-03-29,0.1223
2023-03-30,0.1238
2023-03-31,0.1638
2023-04-01,0.0949
2023-04-02,0.0715
2023-04-03,0.1495
2023-04-04,0.1297
2023-04-05,0.1079
2023-04-06,0.0847
2023-04-07,0.0929
2023-04-08,0.1937
2023-04-09,0.1391
2023-04-10,0.0671
2023-04-11,0.1041
2023-04-12,0.1259
2023-04-13,0.0991
2023-04-14,0.1475
2023-04-15,0.0806
2023-04-16,0.1397
2023-04-17,0.1328
2023-04-18,0.1327
2023-04-19,0.1601
2023-04-20,0.1065
2023-04-21,0.1389
2023-04-22,0.1726
2023-04-23,0.1129
2023-04-24,0.1047
2023-04-25,0.1314
2023-04-26,0.1757
2023-04-27,0.1558
2023-04-28,0.1332
2023-04-29,0.0992
2023-04-30,0.0814
2023-05-01,0.1045
2023-05-02,0.1418
2023-05-03,0.0702
2023-05-04,0.0815
2023-05-05,0.1383
2023-05-06,0.1572
2023-05-07,0.0722
2023-05-08,0.1094
2023-05-09,0.1726
2023-05-10,0.1678
2023-05-11,0.1427
2023-05-12,0.1183
2023-05-13,0.1344
2023-05-14,0.1257
2023-05-15,0.158
2023-05-16,0.1349
2023-05-17,0.1444
2023-05-18,0.2136
2023-05-19,0.1643
2023-05-20,0.1586
2023-05-21,0.1989
2023-05-22,0.1343
2023-05-23,0.1671
2023-05-24,0.1659
2023-05-25,0.1322
2023-05-26,0.1727
2023-05-27,0.1547
2023-05-28,0.2012
2023-05-29,0.1832
2023-05-30,0.1583
2023-05-31,0.1659
2023-06-01,0.1736
2023-06-02,0.1452
2023-06-03,0.0972
2023-06-04,0.1375
2023-06-05,0.1855
2023-06-06,0.1476
2023-06-07,0.1938
2023-06-08,0.1975
2023-06-09,0.1872
2023-06-10,0.1407
2023-06-11,0.2197
2023-06-12,0.1825
2023-06-13,0.1741
2023-06-14,0.1764
2023-06-15,0.2081
2023-06-16,0.1574
2023-06-17,0.151
2023-06-18,0.1977
2023-06-19,0.2009
2023-06-20,0.1629
2023-06-21,0.1596
2023-06-22,0.1617
2023-06-23,0.1635
2023-06-24,0.1393
2023-06-25,0.2009
2023-06-26,0.1538
2023-06-27,0.1112
2023-06-28,0.1598
2023-06-29,0.1506
2023-06-30,0.1605
